Aggregator,DirectDeeplink(Y/N),DeeplinkExample,RequiresSlugOrKey(Y/N),NonKYC_Limit_EUR,KYC_Docs,Min/Max,PaymentMethods,EU_Supported,CA_Supported,OffRampSupported(Y/N),TypicalFeePct,CardDeclineRate,NotableBugsOrFeatures,SourcesOfficial,SourcesUnofficial
Paybis,YES,"widget.paybis.com/... (white-label)",YES,"≈0 (90% first trades skip ID):contentReference[oaicite:85]{index=85}","ID on higher volume:contentReference[oaicite:86]{index=86}","5/20000:contentReference[oaicite:87]{index=87}:contentReference[oaicite:88]{index=88}","Visa, Mastercard, Skrill, Neteller, Bank, Revolut:contentReference[oaicite:89]{index=89}",YES,YES,YES,"~1.5% + network:contentReference[oaicite:90]{index=90}",low,"No Paybis fee on 1st purchase:contentReference[oaicite:91]{index=91}","[83†L72-L80]",""
Simplex,YES,"hosted.simplex.com/...",YES,150 $:contentReference[oaicite:92]{index=92},"ID required > $150:contentReference[oaicite:93]{index=93}","50/20000:contentReference[oaicite:94]{index=94}:contentReference[oaicite:95]{index=95}","Visa, Mastercard (cards only)",YES,YES,NO,"~5%:contentReference[oaicite:96]{index=96}",medium,"No KYC below $150:contentReference[oaicite:97]{index=97}","[80†L17-L20]",""
Coinify,YES,"trade.coinify.com/...",YES,0:contentReference[oaicite:98]{index=98},"Photo ID (selfie) on first trade:contentReference[oaicite:99]{index=99}","60/1000 (card):contentReference[oaicite:100]{index=100}:contentReference[oaicite:101]{index=101}","Visa, Mastercard, Bank Transfer:contentReference[oaicite:102]{index=102}:contentReference[oaicite:103]{index=103}",YES,YES,YES,"~3%",medium,"Instant verification, €1000 card limit:contentReference[oaicite:104]{index=104}","[88†L55-L63]","[87†L15-L18]"
Indacoin,YES,"via Changelly/partners",YES,150 $:contentReference[oaicite:105]{index=105},"ID verification > $150:contentReference[oaicite:106]{index=106}","50/20000:contentReference[oaicite:107]{index=107}:contentReference[oaicite:108]{index=108}","Visa, Mastercard (3D Secure)",YES,YES,NO,"~7-10%",medium,"SMS code card verification (gradual limits)","[89†L17-L20]",""
Utorg,YES,"widget.utorg.pro/...",YES,0:contentReference[oaicite:109]{index=109},"Government ID (selfie):contentReference[oaicite:110]{index=110}","≈20/1000","Visa, Mastercard",YES,YES,NO,"~4%",medium,"Identity check ~3 minutes:contentReference[oaicite:111]{index=111}","[92†L13-L16]",""
Mt Pelerin,YES,"https://app.mtpelerin.com/...",NO,"1000 CHF:contentReference[oaicite:112]{index=112}","None ≤1000; ID above:contentReference[oaicite:113]{index=113}","100/1000 per day:contentReference[oaicite:114]{index=114}","Bank transfer (SEPA/SWIFT)",YES,YES,YES,"~0.5%",N/A,"KYC-less ≤ CHF 1000/day (Swiss law):contentReference[oaicite:115]{index=115}","[94†L31-L35]",""
Stripe (Crypto Onramp),YES,"Stripe hosted widget",YES,0:contentReference[oaicite:116]{index=116},"Full KYC by Stripe:contentReference[oaicite:117]{index=117}",нет данных,"Visa, Mastercard (US only)","NO","NO",NO,"≈3%",low,"US-only service (Stripe handles KYC/disputes):contentReference[oaicite:118]{index=118}","[91†L66-L74]",""
Swipelux,YES,"widget.swipelux.com/...",YES,"≈300 € (zero-KYC):contentReference[oaicite:119]{index=119}","ID above zero-KYC limit:contentReference[oaicite:120]{index=120}",нет данных,"Visa, Mastercard, ApplePay",YES,YES,YES,"~3%",medium,"Zero-KYC option for small transactions:contentReference[oaicite:121]{index=121}","[95†L1-L4]","[95†L25-L28]"
Onramper,YES,"integrated via API",YES,"Varies (minimal KYC if possible):contentReference[oaicite:122]{index=122}","Depends on provider",N/A,"Various (aggregator)",YES,YES,YES,"N/A",N/A,"Aggregates multiple on-ramps (dynamic KYC):contentReference[oaicite:123]{index=123}","[90†L27-L30]",""
Onramp.money,YES,"onramp.money checkout",YES,"YES (email only):contentReference[oaicite:124]{index=124}","None (basic info only):contentReference[oaicite:125]{index=125}","~5/??","UPI, Bank (India-local)",NO,NO,YES,"~1%",N/A,"Emerging markets focus, no KYC via ZK proofs:contentReference[oaicite:126]{index=126}","[98†L23-L30]","[98†L17-L20]"
